promRT_mhd23
it   t   dt    rho m1 m2 m3 e b1 b2 b3 psi tr d1 d2 d3 d4      c1 c2 c3 n1 n2 n3
    835  0.32000E+00  0.38474E-03  0.18363E+07  0.37658E-27  0.22663E+00  0.94812E-34  0.27720E+05  0.80044E+01  0.10290E-32  0.79994E+01 -0.24593E-21 -0.20025E+00  0.27712E+05  0.18002E+01  0.79610E-02  0.12421E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
    861  0.33000E+00  0.38474E-03  0.18363E+07  0.40233E-27  0.22678E+00  0.10566E-33  0.27720E+05  0.80043E+01  0.10864E-32  0.79993E+01 -0.13638E-21 -0.20024E+00  0.27712E+05  0.18002E+01  0.79605E-02  0.12421E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
    887  0.34000E+00  0.38474E-03  0.18364E+07  0.41908E-27  0.22693E+00  0.11708E-33  0.27721E+05  0.80043E+01  0.11501E-32  0.79993E+01 -0.27124E-21 -0.20023E+00  0.27712E+05  0.18002E+01  0.79601E-02  0.12421E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
    913  0.35000E+00  0.38473E-03  0.18365E+07  0.43481E-27  0.22707E+00  0.13011E-33  0.27721E+05  0.80043E+01  0.12046E-32  0.79993E+01 -0.25883E-21 -0.20023E+00  0.27713E+05  0.18002E+01  0.79596E-02  0.12422E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
    939  0.36000E+00  0.38473E-03  0.18365E+07  0.44530E-27  0.22722E+00  0.14442E-33  0.27721E+05  0.80043E+01  0.12672E-32  0.79993E+01 -0.35337E-21 -0.20022E+00  0.27713E+05  0.18002E+01  0.79591E-02  0.12425E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
    965  0.37000E+00  0.38472E-03  0.18366E+07  0.44415E-27  0.22740E+00  0.16027E-33  0.27722E+05  0.80043E+01  0.13239E-32  0.79993E+01 -0.22237E-21 -0.20021E+00  0.27713E+05  0.18002E+01  0.79587E-02  0.12428E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
    991  0.38000E+00  0.38472E-03  0.18367E+07  0.45407E-27  0.22762E+00  0.17712E-33  0.27722E+05  0.80043E+01  0.13626E-32  0.79993E+01 -0.19192E-21 -0.20020E+00  0.27714E+05  0.18002E+01  0.79582E-02  0.12433E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1017  0.39000E+00  0.38472E-03  0.18367E+07  0.46751E-27  0.22789E+00  0.19513E-33  0.27722E+05  0.80042E+01  0.13809E-32  0.79992E+01 -0.12218E-21 -0.20019E+00  0.27714E+05  0.18002E+01  0.79578E-02  0.12440E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1043  0.40000E+00  0.38471E-03  0.18368E+07  0.47538E-27  0.22820E+00  0.21409E-33  0.27723E+05  0.80042E+01  0.13740E-32  0.79992E+01 -0.11672E-21 -0.20018E+00  0.27714E+05  0.18003E+01  0.79573E-02  0.12449E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1069  0.41000E+00  0.38471E-03  0.18369E+07  0.47902E-27  0.22857E+00  0.23411E-33  0.27723E+05  0.80042E+01  0.13508E-32  0.79992E+01 -0.71150E-22 -0.20018E+00  0.27715E+05  0.18003E+01  0.79569E-02  0.12459E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1095  0.42000E+00  0.38471E-03  0.18369E+07  0.48295E-27  0.22897E+00  0.25515E-33  0.27723E+05  0.80042E+01  0.13251E-32  0.79992E+01  0.49211E-22 -0.20017E+00  0.27715E+05  0.18003E+01  0.79564E-02  0.12469E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1121  0.43000E+00  0.38471E-03  0.18370E+07  0.50261E-27  0.22939E+00  0.27684E-33  0.27724E+05  0.80042E+01  0.12981E-32  0.79992E+01  0.12548E-21 -0.20016E+00  0.27715E+05  0.18003E+01  0.79559E-02  0.12480E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1147  0.44000E+00  0.38471E-03  0.18371E+07  0.53278E-27  0.22982E+00  0.29871E-33  0.27724E+05  0.80042E+01  0.12867E-32  0.79992E+01  0.39521E-23 -0.20015E+00  0.27716E+05  0.18003E+01  0.79555E-02  0.12491E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1173  0.45000E+00  0.38471E-03  0.18371E+07  0.55032E-27  0.23024E+00  0.32176E-33  0.27724E+05  0.80042E+01  0.13031E-32  0.79992E+01 -0.65668E-22 -0.20014E+00  0.27716E+05  0.18003E+01  0.79550E-02  0.12502E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1199  0.46000E+00  0.38471E-03  0.18372E+07  0.56216E-27  0.23064E+00  0.34507E-33  0.27725E+05  0.80041E+01  0.13355E-32  0.79991E+01  0.29419E-22 -0.20013E+00  0.27716E+05  0.18003E+01  0.79545E-02  0.12512E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1225  0.47000E+00  0.38471E-03  0.18373E+07  0.57357E-27  0.23103E+00  0.36861E-33  0.27725E+05  0.80041E+01  0.13505E-32  0.79991E+01  0.18951E-22 -0.20012E+00  0.27717E+05  0.18003E+01  0.79540E-02  0.12522E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1251  0.48000E+00  0.38472E-03  0.18373E+07  0.58936E-27  0.23141E+00  0.39295E-33  0.27725E+05  0.80041E+01  0.13645E-32  0.79991E+01 -0.80314E-22 -0.20011E+00  0.27717E+05  0.18003E+01  0.79535E-02  0.12532E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1277  0.49000E+00  0.38472E-03  0.18374E+07  0.59486E-27  0.23177E+00  0.41881E-33  0.27725E+05  0.80041E+01  0.13919E-32  0.79991E+01  0.13935E-22 -0.20010E+00  0.27717E+05  0.18002E+01  0.79530E-02  0.12541E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1303  0.50000E+00  0.38472E-03  0.18374E+07  0.60228E-27  0.23212E+00  0.44507E-33  0.27726E+05  0.80041E+01  0.14412E-32  0.79991E+01 -0.55240E-22 -0.20008E+00  0.27717E+05  0.18002E+01  0.79525E-02  0.12549E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1329  0.51000E+00  0.38472E-03  0.18375E+07  0.61159E-27  0.23245E+00  0.47149E-33  0.27726E+05  0.80041E+01  0.14834E-32  0.79991E+01 -0.96076E-23 -0.20007E+00  0.27718E+05  0.18002E+01  0.79521E-02  0.12557E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
